step,value
0,0.5300546288490295
1,0.3897435963153839
2,0.31843575835227966
3,0.2777777910232544
4,0.3502538204193115
5,0.3105263113975525
6,0.3553299605846405
7,0.38308456540107727
8,0.41363635659217834
9,0.4050000011920929
10,0.4386792480945587
11,0.43661972880363464
12,0.5221238732337952
13,0.4570135772228241
14,0.5377777814865112
15,0.5537189841270447
16,0.5843621492385864
17,0.5696202516555786
18,0.5960000157356262
19,0.5813953280448914
20,0.6260162591934204
21,0.6352941393852234
22,0.6641221642494202
23,0.6299212574958801
24,0.6205533742904663
25,0.6198347210884094
26,0.618677020072937
27,0.6064257025718689
28,0.658730149269104
29,0.64682537317276
30,0.6183205842971802
31,0.6092436909675598
32,0.6640625
33,0.5967742204666138
34,0.6692307591438293
35,0.6484375
36,0.6215139627456665
37,0.6332046389579773
38,0.6627451181411743
39,0.6666666865348816
40,0.6692014932632446
41,0.6472868323326111
42,0.650602400302887
43,0.5959183573722839
44,0.6577946543693542
45,0.654618501663208
46,0.629482090473175
47,0.7110266089439392
48,0.7241379022598267
49,0.6769230961799622
50,0.6398467421531677
51,0.6557376980781555
52,0.6589147448539734
53,0.6388888955116272
54,0.6768060922622681
55,0.6393442749977112
56,0.6705426573753357
57,0.6299212574958801
58,0.6653696298599243
59,0.6509804129600525
60,0.7105262875556946
61,0.6186440587043762
62,0.6842105388641357
63,0.715753436088562
64,0.6586345434188843
65,0.701438844203949
66,0.671875
67,0.695035457611084
68,0.7558528184890747
69,0.7319587469100952
70,0.8035714030265808
71,0.7602739930152893
72,0.7121770977973938
73,0.7400721907615662
74,0.7466216087341309
75,0.7563636302947998
76,0.7993420958518982
77,0.7386759519577026
78,0.8321678042411804
79,0.7439446449279785
80,0.7255638837814331
81,0.7661870718002319
82,0.7463235259056091
83,0.7167235612869263
84,0.7362637519836426
85,0.7116104960441589
86,0.7164179086685181
87,0.754325270652771
88,0.7777777910232544
89,0.7665505409240723
90,0.7328519821166992
91,0.7307692170143127
92,0.76408451795578
93,0.7383512258529663
94,0.708185076713562
95,0.7027971744537354
96,0.7328519821166992
97,0.7384105920791626
98,0.7605633735656738
99,0.7699680328369141
100,0.798701286315918
101,0.7773972749710083
102,0.748275876045227
103,0.7966101765632629
104,0.7099236845970154
105,0.6979166865348816
106,0.7112675905227661
107,0.7363013625144958
108,0.7433333396911621
109,0.7785235047340393
110,0.7435897588729858
111,0.7935484051704407
112,0.7804054021835327
113,0.7385159134864807
114,0.7878788113594055
115,0.7699999809265137
116,0.7484076619148254
117,0.7898089289665222
118,0.7873015999794006
119,0.7903780341148376
120,0.7407407164573669
121,0.7739937901496887
122,0.8158730268478394
123,0.7712418437004089
124,0.7961783409118652
125,0.796875
126,0.7533783912658691
127,0.7256944179534912
128,0.7422680258750916
129,0.7508090734481812
130,0.7712418437004089
131,0.7702265381813049
132,0.7641196250915527
133,0.7441860437393188
134,0.7351916432380676
135,0.7058823704719543
136,0.7523809671401978
137,0.7724359035491943
138,0.7809523940086365
139,0.7916666865348816
140,0.7330960631370544
141,0.7785016298294067
142,0.7907692193984985
143,0.7763158082962036
144,0.7756410241127014
145,0.822629988193512
146,0.7887789011001587
147,0.7491748929023743
148,0.7547770738601685
149,0.7967742085456848
150,0.800632894039154
151,0.7834395170211792
152,0.7703180313110352
153,0.7339743375778198
154,0.7870967984199524
155,0.77704918384552
156,0.7987987995147705
157,0.7904762029647827
158,0.7737705111503601
159,0.8213165998458862
160,0.8246153593063354
161,0.7810457348823547
162,0.7708978056907654
163,0.8404908180236816
164,0.8328267335891724
165,0.7936508059501648
166,0.7753846049308777
167,0.7760736346244812
168,0.8153846263885498
169,0.8078078031539917
170,0.781154990196228
171,0.8134556412696838
172,0.7759197354316711
173,0.7313916087150574
174,0.8029850721359253
175,0.7848485112190247
176,0.8032258152961731
177,0.738170325756073
178,0.8087774515151978
179,0.7760736346244812
180,0.7947883009910583
181,0.7556270360946655
182,0.7654321193695068
183,0.8030769228935242
184,0.7597402334213257
185,0.7961165308952332
186,0.7788461446762085
187,0.7863777279853821
188,0.8072289228439331
189,0.7981927990913391
190,0.7757009267807007
191,0.8078078031539917
192,0.8439306616783142
193,0.8130841255187988
194,0.7886435389518738
195,0.7742946743965149
196,0.7961783409118652
197,0.8081395626068115
198,0.7952522039413452
199,0.8666666746139526
200,0.7718120813369751
201,0.7770897746086121
202,0.8078175783157349
203,0.7218309640884399
204,0.7863501310348511
205,0.8036254048347473
206,0.7752442955970764
207,0.7742946743965149
208,0.7694703936576843
209,0.8059701323509216
210,0.8041542768478394
211,0.8088235259056091
212,0.7872340679168701
213,0.8063583970069885
214,0.8271604776382446
215,0.7952522039413452
216,0.8173912763595581
217,0.805232584476471
218,0.8222222328186035
219,0.7891566157341003
220,0.8018018007278442
221,0.802395224571228
222,0.7976190447807312
223,0.8323699235916138
224,0.8022922873497009
225,0.8357771039009094
226,0.8206686973571777
227,0.7863777279853821
228,0.7886435389518738
229,0.8051576018333435
230,0.8571428656578064
231,0.8104956150054932
232,0.8073394298553467
233,0.8049535751342773
234,0.785932719707489
235,0.7982456088066101
236,0.8144654035568237
237,0.7841269969940186
238,0.7880597114562988
239,0.7945619225502014
240,0.7602523565292358
241,0.809374988079071
242,0.7939394116401672
243,0.8066465258598328
244,0.7744807004928589
